"twitter","id_str","screen_name","twitter_name","description","followers_count","statuses_count","friends_count","created_at","location","bioid","id","name","gender","type","party","facebook","youtube","chamber"
"berniesanders","216776631","BernieSanders","Bernie Sanders","The political revolution is just beginning. Tweets by staff.",8928890,11019,1489,"Wed Nov 17 17:53:52 +0000 2010","Vermont",NA,NA,NA,NA,"Primary Candidate","Democrat",NA,NA,NA
"bettymccollum04","516880804","BettyMcCollum04","Rep. Betty McCollum","Proudly representing Minnesota's Fourth District in the United States House of Representatives.",26574,6372,1034,"Tue Mar 06 20:52:11 +0000 2012","Minnesota","M001143","01653","Betty McCollum","F","Congress","Democrat","repbettymccollum",NA,"rep"
"billclinton","1330457336","BillClinton","Bill Clinton","Founder, Clinton Foundation and 42nd President of the United States. Follow @clintonfdn for more on my work around the world.",10240721,726,35,"Sat Apr 06 01:47:40 +0000 2013","New York, NY",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"billpascrell","74508260","BillPascrell","Bill Pascrell, Jr.","Representing the 9th District of New Jersey in the House of Representatives. Member, Ways & Means Committee. Ranking Democrat, Ways & Means Trade Subcommittee.",34444,3081,29,"Tue Sep 15 17:54:32 +0000 2009","Paterson, NJ","P000096","01510","Bill Pascrell, Jr.","M","Congress","Democrat","pascrell","RepPascrell","rep"
"bloomberg","104237736","Bloomberg","Bloomberg LP","Connecting decision makers to a dynamic network of information, people and ideas.",517797,24049,104,"Tue Jan 12 18:39:13 +0000 2010","Around the globe",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"blumenauermedia","137823987","BlumenauerMedia","Blumenauer Media","Rep. Earl Blumenauer (OR-03) congressional account. Tweets are by staff.",3092,352,251,"Tue Apr 27 21:48:06 +0000 2010","","B000574","00099","Earl Blumenauer","M","Congress","Democrat",NA,"RepBlumenauer","rep"
"bobbyscott","161791703","BobbyScott","Rep. Bobby Scott","Proudly representing Virginia's 3rd Congressional District. Ranking Member, Committee on Education and the Workforce @edworkforcedems.",27975,5165,2838,"Thu Jul 01 19:57:00 +0000 2010","Newport News, VA","S000185","01037","Robert C. ""Bobby"" Scott","M","Congress","Democrat","RepBobbyScott","repbobbyscott","rep"
"boblatta","15394954","boblatta","U.S. Rep. Bob Latta","Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Chairman of the Digital Commerce & Consumer Protection Subcommittee.",35201,6498,5800,"Fri Jul 11 18:33:24 +0000 2008","ÜT: 41.052377,-82.130057","L000566","01885","Robert E. Latta","M","Congress","Republican","boblatta","CongressmanBobLatta","rep"
"bradsherman","30216513","BradSherman","Rep. Brad Sherman","Proudly serving California's San Fernando Valley in the U.S. Congress. Admission: Some tweets are prepared by my staff on my behalf. RTs are not an endorsement.",37826,1566,607,"Fri Apr 10 13:38:03 +0000 2009","Sherman Oaks, CA","S000344","01526","Brad Sherman","M","Congress","Democrat","63158229861","shermanca27","rep"
"breitbartnews","457984599","BreitbartNews","Breitbart News","News, commentary, and destruction of the political/media establishment.",953962,93922,100,"Sun Jan 08 01:50:52 +0000 2012","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"brookingsinst","151106990","BrookingsInst","Brookings","Independent research and analysis on the most important policy issues in the world. Sign up for the daily Brookings Brief: https://t.co/NqJPZcqXY4",335477,77437,4396,"Wed Jun 02 16:28:27 +0000 2010","Washington, DC",NA,NA,NA,NA,"Interest groups",NA,NA,NA,NA
"buzzfeedpol","456806128","BuzzFeedPol","BuzzFeed Politics","News and updates from the politics team @BuzzFeedNews.",122658,23862,2833,"Fri Jan 06 17:45:56 +0000 2012","New York & Washington",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"call_me_dutch","305620929","Call_Me_Dutch","Dutch Ruppersberger","U.S. Congressman serving Maryland's 2nd District. Member of House Appropriations Committee. Loves all things Baltimore esp. the Ravens, Orioles and crabs.",14120,3123,1991,"Thu May 26 14:39:08 +0000 2011","Washington, DC","R000576","01728","C. A. Dutch Ruppersberger","M","Congress","Democrat","DutchRupp","ruppersberger","rep"
"cathymcmorris","17976923","cathymcmorris","CathyMcMorrisRodgers","Proudly serving Washington's beautiful 5th District in Congress. Chair of @HouseGOP. Mom of three.",45359,9781,5161,"Mon Dec 08 23:17:15 +0000 2008","Spokane, WA & Washington, DC","M001159","01809","Cathy McMorris Rodgers","F","Congress","Republican","mcmorrisrodgers","mcmorrisrodgers","rep"
"catoinstitute","15450996","CatoInstitute","Cato Institute","A public policy research organization dedicated to individual liberty, limited government, free markets, and peace.",340498,63048,7907,"Wed Jul 16 05:46:16 +0000 2008","Washington, DC",NA,NA,NA,NA,"Interest groups",NA,NA,NA,NA
"cbsnews","15012486","CBSNews","CBS News","Your source for original reporting and trusted news.",6354593,182096,432,"Thu Jun 05 00:54:31 +0000 2008","New York, NY",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"chelliepingree","14984637","chelliepingree","Chellie Pingree","Farmer, mother, Maine islander, Member of Congress, lover of root vegetables",22885,3788,775,"Mon Jun 02 20:29:56 +0000 2008","Maine -- the best place to be!","P000597","01927","Chellie Pingree","F","Congress","Democrat","ChelliePingree","congresswomanpingree","rep"
"chrislhayes","4207961","chrislhayes","Chris Hayes","Host of @allinwithchris on MSNBC, Weeknights at 8pm. Editor at Large at The Nation. Cubs fan. 
Insta: chrislhayes  
FB: https:https://t.co/s1OQXsgvxV",1667714,111896,1156,"Wed Apr 11 16:43:58 +0000 2007","Brooklyn",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"chrisvanhollen","18137749","ChrisVanHollen","Chris Van Hollen","U.S. Senator for Maryland",134707,3816,535,"Mon Dec 15 15:00:29 +0000 2008","Maryland, USA","V000128","01729","Chris Van Hollen","M","Congress","Democrat","chrisvanhollen","RepChrisVanHollen","sen"
"chuckgrassley","10615232","ChuckGrassley","ChuckGrassley","U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.",215309,6906,13955,"Mon Nov 26 15:17:02 +0000 2007","Iowa","G000386","00457","Chuck Grassley","M","Congress","Republican","grassley","senchuckgrassley","sen"
"clyburn","188019606","Clyburn","James E. Clyburn","Rep. Clyburn is the Assistant Democratic Leader, the number three Democrat in the House of Representatives. He represents South Carolina's 6th District.",57175,2063,1345,"Tue Sep 07 18:50:22 +0000 2010","Washington, DC","C000537","00208","James E. Clyburn","M","Congress","Democrat","jameseclyburn","repjamesclyburn","rep"
"cnn","759251","CNN","CNN","It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK  & Download our app 📲https://t.co/Xgo5kjIt8c",39981896,193211,1115,"Fri Feb 09 00:35:02 +0000 2007","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"conawaytx11","295685416","ConawayTX11","Mike Conaway","Proud to serve the 11th Congressional District of Texas. Chairman of @HouseAgNews, Member of @HASCRepublicans & #HPSCI.",14318,884,1436,"Mon May 09 13:56:50 +0000 2011","","C001062","01805","K. Michael Conaway","M","Congress","Republican","mike.conaway","mikeconaway11","rep"
"congbillposey","25086658","congbillposey","Bill Posey","Congressman from Florida's 8th district, representing the Space and Treasure Coasts",20837,1260,930,"Wed Mar 18 15:05:42 +0000 2009","Rockledge, FL","P000599","01915","Bill Posey","M","Congress","Republican","bill.posey15","CongressmanPosey","rep"
"congboyle","4304448314","CongBoyle","Rep. Brendan Boyle","Official Leg. account of Rep. Brendan Boyle. Co-Chair @BlueCollarDems, Proud Father, Loyal Philly sports fan and Fighter for the PA-13 Congressional District",8140,2698,2573,"Fri Nov 20 20:17:53 +0000 2015","","B001296","02267","Brendan F. Boyle","M","Congress","Democrat","CongressmanBoyle",NA,"rep"
"congculberson","24183358","CongCulberson","John Culberson","Proud father, happy husband, Jeffersonian Republican. TX Congressman.",15847,2922,939,"Fri Mar 13 14:54:29 +0000 2009","Houston, TX","C001048","01670","John Abney Culberson","M","Congress","Republican","CongressmanCulberson","johnculbersontx07","rep"
"congmikesimpson","76132891","CongMikeSimpson","Cong. Mike Simpson","U.S. Congressman from Idaho's 2nd Congressional District",13851,717,95,"Mon Sep 21 20:26:26 +0000 2009","Washington, D.C. ","S001148","01590","Michael K. Simpson","M","Congress","Republican","96007744606","CongMikeSimpson","rep"
"congpalazzo","299883942","CongPalazzo","Cong. Steven Palazzo","I proudly represent the Fourth Congressional District of Mississippi. For more information on my work in Congress please visit http://t.co/Ue63OYLp.",14292,2756,1735,"Mon May 16 20:52:25 +0000 2011","Mississippi","P000601","02035","Steven M. Palazzo","M","Congress","Republican","stevenpalazzo","CongressmanPalazzo","rep"
"congressmangt","18967498","CongressmanGT","Glenn 'GT' Thompson","I have the distinct honor and privilege to represent and serve the citizens of Pennsylvania's 5th Congressional District. #PA05",18684,6790,2946,"Wed Jan 14 04:54:58 +0000 2009","Howard, Pennsylvania ","T000467","01952","Glenn Thompson","M","Congress","Republican","CongressmanGT","CongressmanGT","rep"
"congressmanhice","2975091705","CongressmanHice","Rep. Jody Hice","I'm honored to serve Georgia's 10th Congressional District.",15517,2169,767,"Mon Jan 12 18:48:35 +0000 2015","Greensboro, GA; Washington, DC","H001071","02237","Jody B. Hice","M","Congress","Republican","CongressmanJodyHice",NA,"rep"
"congressmanraja","814179031956488192","CongressmanRaja","Raja Krishnamoorthi","Official Twitter account of Congressman   Raja Krishnamoorthi, representing Illinois' 8th Congressional District.",11624,2791,1604,"Wed Dec 28 18:39:42 +0000 2016","Schaumburg, IL","K000391",NA,"Raja Krishnamoorthi","M","Congress","Democrat","congressmanraja",NA,"rep"
"congressmanruiz","1089859058","CongressmanRuiz","Raul Ruiz","Emergency room doctor and public servant. Proudly serving California's 36th Congressional District.",18979,1020,3,"Mon Jan 14 18:58:43 +0000 2013","","R000599","02109","Raul Ruiz","M","Congress","Democrat","CongressmanRaulRuizMD","repraulruiz","rep"
"dailykos","20818801","dailykos","Daily Kos","News. Community. Action.",271636,75973,419,"Fri Feb 13 23:51:25 +0000 2009","",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"darrellissa","22509548","DarrellIssa","Darrell Issa","I work for CA-49, Chair the Subcommittee on Courts, Intellectual Property, and the Internet, & serve on the House Committee on Foreign Affairs.",293537,21276,33753,"Mon Mar 02 17:39:00 +0000 2009","Vista, CA & Washington, DC","I000056","01640","Darrell E. Issa","M","Congress","Republican","darrellissa","repdarrellissa","rep"
"daveloebsack","510516465","daveloebsack","Dave Loebsack","Fighting for the hardworking people of Iowa",7559,1010,582,"Thu Mar 01 16:52:06 +0000 2012","Iowa's 2nd District","L000565","01846","David Loebsack","M","Congress","Democrat","DaveLoebsack","congressmanloebsack","rep"
"davereichert","16102244","davereichert","Dave Reichert","Representative of the Eighth Congressional District in Washington State",20537,3677,3005,"Tue Sep 02 20:12:26 +0000 2008","Auburn, Washington","R000578","01810","David G. Reichert","M","Congress","Republican","repdavereichert","repdavereichert","rep"
"dccc","14676022","dccc","DCCC","DCCC • Committed to electing Democrats to the U.S. House of Representatives",216982,12111,59426,"Tue May 06 17:19:14 +0000 2008","Washington, DC",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"desjarlaistn04","235312723","DesJarlaisTN04","Scott DesJarlais","Individual Rights. Small Government. Strong Defense. Representing Tennessee's 4th District in Congress.",15159,3976,1503,"Fri Jan 07 21:47:44 +0000 2011","","D000616","02062","Scott DesJarlais","M","Congress","Republican","ScottDesJarlaisTN04","ScottDesJarlaisTN04","rep"
"donaldnorcross","3122099613","DonaldNorcross","Donald Norcross","Representing New Jersey's 1st Congressional District in the United States House of Representatives",8862,6913,1161,"Fri Mar 27 20:08:34 +0000 2015","","N000188","02202","Donald Norcross","M","Congress","Democrat","DonaldNorcrossNJ",NA,"rep"
"donlemon","16051471","donlemon","Don Lemon","CNN Anchor & Twitter King..... Follow me on Instagram: https://t.co/wULEYAvS33",684129,22792,14930,"Sat Aug 30 04:15:19 +0000 2008","NYC",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"dorismatsui","38254095","DorisMatsui","Rep. Doris Matsui","Representing California's 6th Congressional District - including the capital city of Sacramento. Member of the Energy and Commerce Committee.",30938,2884,8340,"Wed May 06 19:20:50 +0000 2009","Sacramento, CA","M001163","01814","Doris O. Matsui","F","Congress","Democrat","doris.matsui","RepDorisMatsui","rep"
"drnealdunnfl2","815952318487298048","DrNealDunnFL2","Dr. Neal Dunn","Official government Twitter account for Congressman Neal Dunn (FL-02).",4646,900,186,"Mon Jan 02 16:06:07 +0000 2017","","D000628",NA,"Neal P. Dunn","M","Congress","Republican","drnealdunnfl2",NA,"rep"
"drphilroe","52503751","DrPhilRoe","Dr. Phil Roe","Official Account of Rep. Phil Roe, MD, serving Tennessee's First Congressional District. @HouseVetAffairs Chair. Member @EdWorkforce & co-chair of @gopdoccaucus",16121,2946,280,"Tue Jun 30 20:07:34 +0000 2009","East Tennessee","R000582","01954","David P. Roe","M","Congress","Republican","DrPhilRoe","drphilroe","rep"
"drudge_report","14669951","DRUDGE_REPORT","DRUDGE REPORT","The DRUDGE REPORT is a U.S. based news aggregation website run by Matt Drudge(@DRUDGE).",1361129,224477,2,"Tue May 06 05:34:47 +0000 2008","US",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"econus","32353291","EconUS","The Economist","Official tweets from The Economist's US correspondents",84721,24378,591,"Fri Apr 17 09:18:23 +0000 2009","Washington",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"edshow","75052666","edshow","Ed Schultz","THANK YOU #TeamEdShow for a terrific six-year run of #edshow on @msnbc. Keep following Ed at http://t.co/k30ABzNAEw!",196273,25624,1029,"Thu Sep 17 16:33:54 +0000 2009","New York, NY",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"eleanornorton","23600262","EleanorNorton","Eleanor Holmes Norton","Member of the U.S. Congress representing the District of Columbia",29499,4346,1867,"Tue Mar 10 14:47:46 +0000 2009","Washington, DC","N000147","00868","Eleanor Holmes Norton","F","Congress","Democrat","CongresswomanNorton","EleanorHNorton","rep"
"foxandfriends","15513604","foxandfriends","FOX & friends","America's #1 cable morning news show",1215576,88532,1523,"Mon Jul 21 10:50:09 +0000 2008","New York City",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"foxnews","1367531","FoxNews","Fox News","America’s Strongest Primetime Lineup Anywhere! Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos.",17772522,396163,408,"Sat Mar 17 19:01:26 +0000 2007","U.S.A.",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"frankpallone","31801993","FrankPallone","Rep. Frank Pallone","The official Twitter account of Congressman Frank Pallone, Jr. (D), of New Jersey's 6th district, Ranking Member of @EnergyCommerce Committee.",28941,11666,2857,"Thu Apr 16 13:51:56 +0000 2009","#NJ","P000034","00887","Frank Pallone, Jr.","M","Congress","Democrat","repfrankpallone","repfrankpallone","rep"
"georgehwbush","475988505","GeorgeHWBush","George Bush","41st President of the United States of America",338545,104,20,"Fri Jan 27 17:07:33 +0000 2012","Houston, TX",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"gerryconnolly","78445977","GerryConnolly","Gerry Connolly","Proudly representing Virginia's 11th District",44916,6557,241,"Tue Sep 29 23:17:33 +0000 2009","Virginia's 11th District","C001078","01959","Gerald E. Connolly","M","Congress","Democrat","CongressmanGerryConnolly","repconnolly","rep"
"gkbutterfield","432676344","GKButterfield","G. K. Butterfield","U. S. Representative, proudly serving North Carolina's 1st Congressional District. Follow my work in Washington and #NC01.",16088,4739,693,"Fri Dec 09 17:17:22 +0000 2011","","B001251","01761","G. K. Butterfield","M","Congress","Democrat","congressmangkbutterfield","GKBNC01","rep"
"glaad","31583882","glaad","GLAAD","The voice for acceptance.",399675,37258,45447,"Thu Apr 16 01:04:04 +0000 2009","United States",NA,NA,NA,NA,"Interest groups",NA,NA,NA,NA
"glennbeck","17454769","glennbeck","Glenn Beck","question with boldness - to find the truth - not to prove your point. reconciliation, humility, curiosity, courage, integrity, forgiveness b4 AGI eats us all.",1179226,14936,255,"Tue Nov 18 00:43:47 +0000 2008","Dallas, TX. Rockies, NYC.",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"gop","11134252","GOP","GOP","Join our team and get official updates from the Republican National Committee. ⬇️",1646597,28800,1691,"Thu Dec 13 17:15:41 +0000 2007","",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"gopleader","19739126","GOPLeader","Kevin McCarthy","I serve as Majority Leader and Representative of California's 23rd district in the U.S. House of Representatives.",163347,9612,1465,"Thu Jan 29 22:28:48 +0000 2009","Bakersfield, CA","M001165","01833","Kevin McCarthy","M","Congress","Republican","CongressmanKevinMcCarthy","repkevinmccarthy","rep"
"govchristie","90484508","GovChristie","Governor Christie","Official Twitter Account of the 55th Governor of New Jersey. Husband and proud father of four. ABC News Political and Legal Contributor",934408,9366,581,"Mon Nov 16 21:08:09 +0000 2009","Mendham, NJ",NA,NA,NA,NA,"Primary Candidate","Republican",NA,NA,NA
"govmikehuckabee","15416505","GovMikeHuckabee","Gov. Mike Huckabee","Host of ""Huckabee"" on TBN Sat/Sun 8pm et,Fox News contributor, author, Fmr AR Gov, Bass Guitarist, grandfather to 6 cutest kids in world!",1061191,9023,550,"Sun Jul 13 17:09:21 +0000 2008","United States",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"gracenapolitano","161411080","gracenapolitano","Rep.Grace Napolitano","Congresswoman from California's 32nd Congressional District in the US House of Representatives",29045,2177,502,"Wed Jun 30 19:48:06 +0000 2010","El Monte, CA","N000179","01602","Grace F. Napolitano","F","Congress","Democrat","RepGraceNapolitano","RepGraceNapolitano","rep"
"grahamblog","14845376","GrahamBlog","Lindsey Graham","Twitter feed for U.S. Senator Lindsey Graham of South Carolina.",112420,4242,2098,"Tue May 20 13:57:21 +0000 2008","Washington, DC","G000359","00452","Lindsey Graham","M","Congress","Republican","USSenatorLindseyGraham","USSenLindseyGraham","sen"
"greggharper","23712174","GreggHarper","Gregg Harper","Devoted husband. Loving father. Principled conservative.",27850,3280,461,"Wed Mar 11 03:02:52 +0000 2009","Pearl, Mississippi","H001045","01933","Gregg Harper","M","Congress","Republican","GreggHarper","congressmanharper","rep"
"gstephanopoulos","17074440","GStephanopoulos","GeorgeStephanopoulos","@GMA Anchor, @ThisWeekABC Anchor and Chief Anchor of @ABC",2451015,7212,759,"Thu Oct 30 21:00:45 +0000 2008","New York, NY",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"guardianus","16042794","GuardianUS","Guardian US","US news, opinion, features and sports from the Guardian.",195952,196388,719,"Fri Aug 29 14:52:08 +0000 2008","United States",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"heritage","10168082","Heritage","Heritage Foundation","A think tank devoted to the principles of free enterprise, limited government, individual freedom, traditional American values, and a strong national defense.",623670,75216,31315,"Mon Nov 12 01:50:27 +0000 2007","Washington, DC",NA,NA,NA,NA,"Interest groups",NA,NA,NA,NA
"herrerabeutler","242926427","HerreraBeutler","JaimeHerreraBeutler","I'm proud to have grown up in SW WA, and honored to represent this wonderful region in the US Congress. Want regular email updates? http://t.co/sZutp93Fhg",17991,837,1099,"Tue Jan 25 22:36:44 +0000 2011","","H001056","02071","Jaime Herrera Beutler","F","Congress","Republican","herrerabeutler","RepHerreraBeutler","rep"
"hillaryclinton","1339835893","HillaryClinton","Hillary Clinton","2016 Democratic Nominee, SecState, Senator, hair icon. Mom, Wife, Grandma x2, lawyer, advocate, fan of walks in the woods & standing up for our democracy.",23121593,10168,771,"Tue Apr 09 18:04:35 +0000 2013","New York, NY",NA,NA,NA,NA,"Primary Candidate","Democrat",NA,NA,NA
"housedemocrats","43963249","HouseDemocrats","House Democrats","House Democratic Caucus of the United States Congress. Chairman @RepJoeCrowley, Vice Chair @RepLindaSanchez, @DemsEspanol",681285,11877,793,"Mon Jun 01 20:21:53 +0000 2009","Washington, D.C.",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"housegop","15207668","HouseGOP","House Republicans","The United States House of Representatives Republican Conference. @housegop on Instagram & Snapchat.",570722,18322,9982,"Mon Jun 23 14:41:52 +0000 2008","Washington, DC",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"hrc","19608297","HRC","Human Rights Campaign","The Human Rights Campaign is America’s largest civil rights organization fighting every day for a world where #LGBTQ people are treated #EqualEverywhere.",811222,36985,160797,"Tue Jan 27 18:55:38 +0000 2009","Washington, DC",NA,NA,NA,NA,"Interest groups",NA,NA,NA,NA
"huffpostpol","15458694","HuffPostPol","HuffPost Politics","The latest political news from HuffPost's politics team.",1436141,288761,8984,"Wed Jul 16 19:45:46 +0000 2008","Washington, D.C.",NA,NA,NA,NA,"Media Outlets",NA,NA,NA,NA
"hurdonthehill","2963445730","HurdOnTheHill","Rep. Will Hurd","Serving #TX23 in Congress, #SanAntonio native, @TAMU grad, formerly undercover @CIA, @GOPOversight IT Subcommittee Chair, also on House #Intel & @HouseHomeland",28345,4922,1070,"Tue Jan 06 04:27:18 +0000 2015","#TX23","H001073","02269","Will Hurd","M","Congress","Republican","HurdOnTheHill",NA,"rep"
"ingrahamangle","50769180","IngrahamAngle","Laura Ingraham","Mom, author, TV & Radio Host, The Ingraham Angle 10p ET Fox News, The Laura Ingraham Show, 9 to Noon ET https://t.co/Wu93dyjL6t. Retweets do not = Endorsements",2323535,34584,345,"Thu Jun 25 21:03:25 +0000 2009","DC",NA,NA,NA,NA,"Journalists",NA,NA,NA,NA
"inhofepress","20546536","InhofePress","Inhofe Press Office","Press Office of U.S. Senator @JimInhofe (R-Okla.)",15326,6231,1360,"Tue Feb 10 21:12:51 +0000 2009","Washington, D.C.","I000024","00583","James M. Inhofe","M","Congress","Republican","jiminhofe","jiminhofepressoffice","sen"
"jacksonleetx18","80612021","JacksonLeeTX18","Sheila Jackson Lee","Official Twitter account for Congresswoman Sheila Jackson Lee, Representing Texas' 18th Congressional District in the U.S. House of Representatives.",58084,5741,2377,"Wed Oct 07 16:13:13 +0000 2009","Houston, TX","J000032","00588","Sheila Jackson Lee","F","Congress","Democrat","CongresswomanSheilaJacksonLee","TX18SJL","rep"
"jahimes","31611298","jahimes","Jim Himes","Connecticut Congressman. Reader. Runner. Swimmer. Apiarist. And I make maple syrup.",74166,9015,386,"Thu Apr 16 02:38:33 +0000 2009","CT and DC","H001047","01913","James A. Himes","M","Congress","Democrat","CongressmanJimHimes","congressmanhimes","rep"
"janschakowsky","24195214","janschakowsky","Jan Schakowsky","Official Twitter account for Rep. Jan Schakowsky, Illinois 9th Congressional District",36620,6630,1301,"Fri Mar 13 16:03:17 +0000 2009","Chicago, IL","S001145","01588","Janice D. Schakowsky","F","Congress","Democrat","janschakowsky","repschakowsky","rep"
"jebbush","113047940","JebBush","Jeb Bush","43rd Governor of Florida. Connect on Facebook: https://t.co/e8DhvF8teu",1447155,5056,326,"Wed Feb 10 14:45:07 +0000 2010","Miami, FL",NA,NA,NA,NA,"Primary Candidate","Republican",NA,NA,NA
"jeffflake","16056306","JeffFlake","Jeff Flake","Senator from Arizona",586708,2618,216,"Sat Aug 30 17:00:58 +0000 2008","Mesa, AZ","F000444","01633","Jeff Flake","M","Congress","Republican","senatorjeffflake","flakeoffice","sen"
"jefffortenberry","18805303","JeffFortenberry","Jeff Fortenberry","U.S. Representative for the First Congressional District of Nebraska",18724,3255,2213,"Fri Jan 09 16:14:19 +0000 2009","Lincoln, NE / Washington, D.C.","F000449","01793","Jeff Fortenberry","M","Congress","Republican","jefffortenberry","JeffFortenberry","rep"
"jerrymoran","18632666","JerryMoran","Senator Jerry Moran","Official account of U.S. Senator Jerry Moran. Honored to represent Kansans in the U.S. Senate.",79122,4537,2928,"Mon Jan 05 14:25:22 +0000 2009","Kansas","M000934","01507","Jerry Moran","M","Congress","Republican","jerrymoran","senatorjerrymoran","sen"
"jim_jordan","18166778","Jim_Jordan","Rep. Jim Jordan","Proudly serving Ohio's beautiful fourth district.",234672,2578,5196,"Tue Dec 16 17:20:24 +0000 2008","Washington, D.C. ","J000289","01868","Jim Jordan","M","Congress","Republican","repjimjordan","RepJimJordan","rep"
"jimlangevin","18909919","JimLangevin","Jim Langevin","Congressman for Rhode Island's   Second District",21552,10116,4413,"Mon Jan 12 18:36:58 +0000 2009","Warwick, RI and Washington, DC","L000559","01668","James R. Langevin","M","Congress","Democrat","CongressmanJimLangevin","jimlangevin","rep"
"jimpressoffice","851621377","JimPressOffice","Sensenbrenner Press","Press Office of Congressman Jim Sensenbrenner, representing Wisconsin's Fifth District. Former Chair of House Judiciary Committee.",6642,1288,629,"Fri Sep 28 19:31:33 +0000 2012","","S000244","01041","F. James Sensenbrenner, Jr.","M","Congress","Republican","RepSensenbrenner","RepSensenbrenner","rep"
"joaquincastrotx","231510077","JoaquinCastrotx","Joaquin Castro","Texas Congressman, Member of the House Foreign Affairs and House Intelligence Committees & host of @DiploCable",112581,12123,1425,"Tue Dec 28 18:41:02 +0000 2010","San Antonio, Texas","C001091","02163","Joaquin Castro","M","Congress","Democrat","326420614138023","JoaquinCastroTX","rep"
"joebiden","939091","JoeBiden","Joe Biden","Represented Delaware in the Senate for 36 years, 47th Vice President of the United States, husband to Jill, proud father and grandfather.",2852896,1444,23,"Sun Mar 11 17:51:24 +0000 2007","Washington, D.C.",NA,NA,NA,NA,"Other Politicians",NA,NA,NA,NA
"johnboozman","5558312","JohnBoozman","Senator John Boozman","Representing Arkansas in the U.S. Senate. Contact Info: 202-224-4843",65046,4117,750,"Fri Apr 27 16:05:52 +0000 2007","Arkansas","B001236","01687","John Boozman","M","Congress","Republican","JohnBoozman","BoozmanPressOffice","sen"
"johncornyn","13218102","JohnCornyn","Senator John Cornyn","Personally curated news I find interesting, pics, and occasional opinions. Honored to represent the great state of Texas in the US Senate.",134031,27663,11434,"Thu Feb 07 19:52:55 +0000 2008","Austin, Texas","C001056","01692","John Cornyn","M","Congress","Republican","sen.johncornyn","senjohncornyn","sen"
"johnkasich","18020081","JohnKasich","John Kasich","Husband, Dad and Governor of Ohio. Learn more about my latest book at https://t.co/Vdhq3le6UO",949149,11215,10077,"Wed Dec 10 14:33:27 +0000 2008","Westerville, Ohio",NA,NA,NA,NA,"Primary Candidate","Republican",NA,NA,NA
"judgecarter","18030431","JudgeCarter","Judge Carter","U.S. Congressman proudly serving the 31st District of Texas & @forthood. Former Judge. Proud @TexasTech Red Raider.",14273,5791,705,"Wed Dec 10 21:00:58 +0000 2008","#TX31 ","C001051","01752","John R. Carter","M","Congress","Republican","judgecarter","repjohncarter","rep"
"judgetedpoe","74198348","JudgeTedPoe","Ted Poe","Member of Congress, representing the second district of the great state of Texas",32389,5503,693,"Mon Sep 14 16:40:24 +0000 2009","Humble, Texas","P000592","01802","Ted Poe","M","Congress","Republican","106631626049851","CongressmanTedPoe","rep"
"juliabrownley26","1243902714","JuliaBrownley26","Congresswoman Julia Brownley","Honored to serve California's 26th District in Congress & fight for Ventura County. @VetAffairsDems Health Subcommittee Ranking Member & @TransportDems Member.",14736,3312,976,"Tue Mar 05 14:51:28 +0000 2013","Ventura County & Washington, DC","B001285","02106","Julia Brownley","F","Congress","Democrat","RepJuliaBrownley","RepJuliaBrownley","rep"
"keithellison","14135426","keithellison","Keith Ellison","Member of Congress from Minnesota's Fifth District. Vice Chair & Labor Liaison, @USProgressives. Host of We The Podcast. Subscribe here: https://t.co/NSnxwreA3H",369473,20971,6837,"Wed Mar 12 21:38:12 +0000 2008","Minneapolis — Washington, D.C.","E000288","01857","Keith Ellison","M","Congress","Democrat","Keith.Ellison","RepKeithEllison","rep"
